title,developers,genres,platforms
Beany Bopper,Sirius Software,Multidirectional shooter,Atari 2600
Dungeons 4,Kalypso Media,"Construction and management simulation, Simulation video game, Strategy video game","Microsoft Windows, Nintendo Switch, PlayStation 5, Xbox Series X and Series S"
NBA Hotshot,Freeverse Inc.,Sports video game,IOS
Space Invaders (Atari 2600 video game),"Atari,  Inc.",Fixed shooter,Atari 2600
Splatoon 3: Side Order,Nintendo Entertainment Planning & Development,"Roguelike, Third-person shooter",Nintendo Switch
The New York Times Strands,The New York Times,Word game,Browser game
Tiebreak: Official Game of the ATP and WTA,Big Ant Studios,Sports video game,"Microsoft Windows, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Series S"
Exodus: Journey to the Promised Land,Color Dreams,"Christian video game, Puzzle","Game Boy, MS-DOS, Nintendo Entertainment System, Sega Genesis"
NFL Sports Talk Football '93 Starring Joe Montana,BlueSky Software,Sports video game,Sega Genesis
Star Wars: Starfighter (video game),"Lucasfilm Games, Sega Studios San Francisco",Action game,"Arcade video game, Microsoft Windows, PlayStation 2, PlayStation 3, Xbox (console)"
Stinger (1983 video game),Seibu Kaihatsu,Shoot 'em up,Arcade video game
Super Dodge Ball (1996 video game),"Mega Enterprise, Technōs Japan",Sports video game,"Arcade game, Microsoft Windows"
Forza Motorsport (2023 video game),Turn 10 Studios,Sim racing,"Microsoft Windows, Xbox Series X and Series S"
NHL 23,EA Vancouver,Sports video game,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Series S"
Evolution (1982 video game),Don Mattrick,Science fiction,"Apple II, Atari, ColecoVision, Commodore 64, IBM Personal Computer"
Metal Eden,Ruiner (video game),First-person shooter,"Microsoft Windows, PlayStation 5, Xbox Series X and Series S"
The Rugrats Movie: Activity Challenge,Broderbund,Educational game,"Classic Mac OS, Microsoft Windows"
Wappy Dog,MTO (video game company),Virtual pet,"Nintendo 3DS, Nintendo DS"
Bring me Sandwiches!!,Grumpyface Studios,Platformer,IOS
Chessmaster 4000 Turbo,The Software Toolworks,Strategy video game,"Classic Mac OS, Microsoft Windows"
Crab Champions,Noisestorm,"Roguelike, Third-person shooter",Microsoft Windows
Mighty Doom,Alpha Dog Games,"Roguelite, Shoot 'em up","Android (operating system), IOS"
Virtual Villagers,Last Day of Work,"God game, Life simulation game, Social simulation game","IOS, MacOS, Microsoft Windows, Nintendo DS, Palm OS"
Call of Duty: Black Ops: Declassified,NStigate Games,First-person shooter,PlayStation Vita
Fracture (video game),Wargaming Chicago-Baltimore,Third-person shooter,"PlayStation 3, Xbox 360"
Panzer Dragoon Saga,Sega Sports R&D,Role-playing video game,Sega Saturn
Star Wars: Rebel Assault II: The Hidden Empire,"Factor 5, Lucasfilm Games",Rail shooter,"DOS, Mac operating systems, Microsoft Windows, PlayStation (console)"
Crystal Kingdom Dizzy,Codemasters,"Adventure game, Platformer","Amiga, Amiga CD32, Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum"
Deus Ex: Human Revolution,Eidos-Montréal,"Action role-playing game, First-person shooter, Stealth game","MacOS, Microsoft Windows, PlayStation 3, Wii U, Xbox 360"
Europa Universalis III,Paradox Development Studio,List of grand strategy video games,"MacOS, Microsoft Windows"
"Pokémon Red, Blue, and Yellow",Game Freak,Role-playing video game,Game Boy
Shin Megami Tensei: Imagine,"Cave (company), GungHo Online Entertainment",Massively multiplayer online role-playing game,Microsoft Windows
The 7th Guest,Trilobyte,"Adventure game, Interactive film","Android (operating system), CD-i, IOS, Linux, MacOS, Mac operating systems, Microsoft Windows, Nintendo Switch, PlayStation 4, PlayStation 5"
